Fail_Rate_Category,Other_Category,Success_Rate_Category,Category,Fail_Rate_Country,Other_Category,Success_Rate_Country,Countries
65.29006883,13.3480826,21.36184857,Journalism,66.4,20.34285714,13.25714286,IT
64.46672236,12.26677806,23.26649958,Crafts,64.58610004,17.26427623,18.14962373,NL
64.17551309,11.02618542,24.79830149,Food,64.46808511,17.23404255,18.29787234,CH
62.59910376,18.01677582,19.38412042,Technology,62.18905473,18.15920398,19.65174129,BE
62.56937643,13.97867015,23.45195342,Fashion,61.73469388,20.62682215,17.63848397,ES
59.43288834,10.52468177,30.04242989,Photography,61.21673004,18.25095057,20.53231939,NO
58.9710897,10.62120089,30.40770941,Publishing,59.86209108,16.88582425,23.25208467,AU
52.20699616,10.11202311,37.68098073,Film & Video,59.61251863,20.64083457,19.7466468,DE
50.46959135,9.2332095,40.29719915,Art,59.15119363,24.93368701,15.91511936,AT
50.45683152,16.19027661,33.35289187,Design,58.95652174,17.91304348,23.13043478,IE
46.47308832,20.00785743,33.51905425,Games,58.27464789,12.67605634,29.04929577,NZ
43.16648997,7.95118761,48.88232242,Music,57.52561072,16.07565012,26.39873916,SE
38.95687979,9.58481071,51.4583095,Comics,56.97131421,17.4533022,25.57538359,CA
33.50401606,6.35542169,60.14056225,Theater,54.71204188,18.4816754,26.80628272,FR
32.30495402,5.36932661,62.32571937,Dance,53.45454545,18.54545455,28,DK
,,,,52.63559692,13.41064417,33.95375891,GB
,,,,51.86988461,10.94596903,37.18414636,US
,,,,50,17.5,32.5,LU
,,,,34.02061856,51.54639175,14.43298969,HK
,,,,31.09243697,42.01680673,26.8907563,SG
,,,,0.934579439,98.13084112,0.934579439,MX
